bar	atlocation	street
bar	hascontext	music
bar	isa	place
bar	relatedto	alcohol
bar	relatedto	beer
bar	relatedto	bench
bar	relatedto	building
bar	relatedto	cage
bar	relatedto	candy
bar	relatedto	chairs
bar	relatedto	chocolate
bar	relatedto	city
bar	relatedto	club
bar	relatedto	college
bar	relatedto	crowd
bar	relatedto	drink
bar	relatedto	drinking
bar	relatedto	entertainment
bar	relatedto	flat
bar	relatedto	food
bar	relatedto	fun
bar	relatedto	furniture
bar	relatedto	garden
bar	relatedto	getting
bar	relatedto	glasses
bar	relatedto	hole
bar	relatedto	hotel
bar	relatedto	house
bar	relatedto	like
bar	relatedto	meeting
bar	relatedto	party
bar	relatedto	peanuts
bar	relatedto	people
bar	relatedto	place
bar	relatedto	playground
bar	relatedto	pool
bar	relatedto	prison
bar	relatedto	relaxation
bar	relatedto	restaurant
bar	relatedto	restaurants
bar	relatedto	room
bar	relatedto	shop
bar	relatedto	space
bar	relatedto	stick
bar	relatedto	store
bar	relatedto	table
bar	relatedto	window
bar	relatedto	wine
bar	relatedto	wood
bar	usedfor	dancing
bar	usedfor	drinking
barn	atlocation	country
barn	atlocation	countryside
barn	atlocation	field
barn	isa	building
barn	relatedto	animals
barn	relatedto	building
barn	relatedto	cow
barn	relatedto	farm
barn	relatedto	home
barn	relatedto	house
barn	relatedto	shed
barn	relatedto	storage
barnyard	relatedto	barn
barnyard	relatedto	yard
basement	antonym	attic
basement	atlocation	building
basement	atlocation	canada
basement	atlocation	cellar
basement	atlocation	church
basement	atlocation	closet
basement	atlocation	home
basement	isa	place
basement	partof	building
basement	partof	house
basement	partof	house
basement	relatedto	attic
basement	relatedto	cellar
basement	relatedto	cellar
basement	relatedto	conference
basement	relatedto	floor
basement	relatedto	floor
basement	relatedto	garden
basement	relatedto	house
basement	relatedto	rock
basement	relatedto	room
basement	relatedto	storage
basement	relatedto	underground
basement	relatedto	water
bathroom	atlocation	airport
bathroom	atlocation	apartment
bathroom	atlocation	bedroom
bathroom	atlocation	building
bathroom	atlocation	flat
bathroom	atlocation	hotel
bathroom	atlocation	house
bathroom	atlocation	library
bathroom	atlocation	motel
bathroom	atlocation	opera
bathroom	atlocation	school
bathroom	atlocation	theater
bathroom	hascontext	canada
bathroom	isa	room
bathroom	isa	room
bathroom	partof	house
bathroom	partof	restaurant
bathroom	relatedto	bathtub
bathroom	relatedto	room
bathroom	relatedto	shower
bathroom	relatedto	toilet
bathroom	usedfor	grooming
bathtub	atlocation	motel
bathtub	relatedto	container
battle	antonym	friend
battle	antonym	peace
battle	atlocation	battlefield
battle	atlocation	movie
battle	atlocation	war
battle	isa	fight
battle	partof	war
battle	relatedto	army
battle	relatedto	blood
battle	relatedto	canada
battle	relatedto	enemies
battle	relatedto	field
battle	relatedto	fight
battle	relatedto	fight
battle	relatedto	like
battle	relatedto	river
battle	relatedto	ship
battle	relatedto	town
battle	relatedto	war
bay	atlocation	lake
bay	atlocation	water
bay	relatedto	body
bay	relatedto	front
bay	relatedto	harbor
bay	relatedto	like
bay	relatedto	ocean
bay	relatedto	sea
bay	relatedto	seaside
bay	relatedto	water
bay	usedfor	swimming
bbq	atlocation	backyard
bbq	atlocation	louisiana
bbq	atlocation	restaurant
bbq	atlocation	summer
bbq	isa	food
bbq	usedfor	cooking
beach	isa	place
beach	relatedto	bank
